Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
ackley,PCO,[0.00086309 0.0075641 ],0.005226558922423852,0.729851245880127,
ackley,GA,[1.0277475  1.00818044],3.7065698407691916,0.3752169609069824,
ackley,PSO,[1.26532624e-12 6.90168022e-12],1.9845902698989448e-11,0.0823678970336914,
ackley,SA,[0.5 0.5],4.253654026568412,0.0051038265228271484,
ackley,GOA,[0.1328836  0.21096069],1.8318074330569627,1.7568182945251465,
ackley,DA,[-0.24543654 -0.91706606],3.665841283256022,0.4224715232849121,
ackley,SSA,[-8.73732147e-08  5.93697088e-08],2.987823717326421e-07,0.11859703063964844,
ackley,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
ackley,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
beale,PCO,[3.00942252 0.50207136],1.559383548037786e-05,0.5523440837860107,
beale,GA,[8.83479539 0.87470637],0.2733361562860922,0.24921655654907227,
beale,PSO,[3.  0.5],2.178565647873372e-19,0.014393091201782227,
beale,SA,[0.5 0.5],9.86328125,0.0016989707946777344,
beale,GOA,[3.00765443 0.52302106],0.010787219512248014,1.6956539154052734,
beale,DA,[ 2.31660019 -0.29660385],2.3414559780084514,0.34747791290283203,
beale,SSA,[2.9999998  0.49999996],6.3954277413382815e-15,0.042244911193847656,
beale,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
beale,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
bohachevsky,PCO,[ 0.00042128 -0.00084614],1.771540242834213e-06,0.5693285465240479,
bohachevsky,GA,[0.62701488 0.5283345 ],0.9972177140290159,0.25258803367614746,
bohachevsky,PSO,[-1.22943366e-10 -6.61708070e-10],0.0,0.01944112777709961,
bohachevsky,SA,[0.5 0.5],1.0499999999999998,0.0019354820251464844,
bohachevsky,GOA,[0.55438273 0.08266328],0.6709778885033385,1.7138915061950684,
bohachevsky,DA,[-0.24543654 -0.91706606],2.4433382863861635,0.3857614994049072,
bohachevsky,SSA,[ 3.34088312e-11 -2.37131000e-08],1.887379141862766e-14,0.056284189224243164,
bohachevsky,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
bohachevsky,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
booth,PCO,[0.99074915 3.00722804],4.129903260468908e-05,0.5410268306732178,
booth,GA,[0.75616865 3.21762393],0.10956122020314765,0.24175810813903809,
booth,PSO,[1. 3.],1.1441715790919567e-20,0.010930538177490234,
booth,SA,[0.5 0.5],42.5,0.0016129016876220703,
booth,GOA,[1.14426579 2.90137778],0.038872303053435156,1.6811223030090332,
booth,DA,[1.23093735 2.7920674 ],0.09868490135338256,0.35495638847351074,
booth,SSA,[0.99999998 2.99999997],1.0988230291316013e-14,0.03885650634765625,
booth,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
booth,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
branin,PCO,[9.42599016 2.4755477 ],0.3978946381756483,0.5570371150970459,
branin,GA,[9.40681312 2.46235283],0.39944286261177275,0.3059408664703369,
branin,PSO,[3.14159266 2.27500003],0.39788735772973816,0.023934364318847656,
branin,SA,[7.11843036 3.93358711],23.824399274107215,0.0018315315246582031,
branin,GOA,[3.13712311 2.27604   ],0.39798926104769805,1.6695020198822021,
branin,DA,[3.70353999 2.72552134],2.5935562717002227,0.35608577728271484,
branin,SSA,[3.14159264 2.27500019],0.39788735772977013,0.0464019775390625,
branin,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
branin,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
colville,PCO,N/A,N/A,N/A,index 3 is out of bounds for axis 0 with size 2
colville,GA,N/A,N/A,N/A,index 3 is out of bounds for axis 0 with size 2
